Architectural Engineering	Architectural Engineering	BUILDING PHYSICS	Inclusive	The course introduces the principles of building physics, as they are applied to various building design situations and performance requirements. Covered topics include heat transfer, moisture control, condensation, cold bridging, external and internal gains, and air flows, as they pertain to building envelopes (external walls, windows and doors, and roofs) and the requirements of environmental comfort of space occupants. Design exercises take into account pertinent building and energy codes as well as comfort standards. The course gives students the tools to integrate engineering science fundamentals and physics principles in developing building design solutions. Thermal measurements in building components are performed.
Architectural Engineering	Architectural Engineering	INTRODUCTION TO ARCHITECTURAL ENGINEERING SYSTEMS	Inclusive	The objective of this course is to introduce the functional parts and systems that make up a building as well as their interactions in delivering required sustainable performance. It encompasses foundations, structures, building enclosures, heating and air conditioning, electrical, plumbing and fire safety systems as well as concepts of building performance and aspects of pertinent building codes and standards. This course, in addition, incorporates basic principles of building science and green construction.
Architectural Engineering	Architectural Engineering	ARCHITECURAL GRAPHICS AND COMMUNICATION	Inclusive	With this course, students develop an understanding of the architectural design process and the graphic means for communicating and exchanging design content during the execution of a building project. The course covers the following topics: Nature of design (problems, solutions and process), building siting and orientation aimed at reducing energy requirements, architectural drawings (plans, elevations and cross sections), isometric projections and detail drawings. Most of these topics build upon the systematic use of electronic modeling software. This course is lab oriented. 
Architectural Engineering	Architectural Engineering	ARCHITECTURAL DESIGN	Inclusive	This course is a continuation of AREN 3001, and is designed to further the student?s knowledge in the process of architectural design through the studies of ideas, principles and methods of design. The concepts are explored with the completion of a project, including a residential or a commercial project, which at its completion, will be reviewed by invited guest critics. The course emphasizes the development of form, space, spatial relationships, materials, and architectural presentation techniques through the use of computer graphics. It introduces principles of passive approaches to reduce energy consumption. It also covers building codes in the design process.
Architectural Engineering	Architectural Engineering	PRINCIPLES OF HVAC DESIGN FOR BUILDINGS	Inclusive	The course introduces principles and applications of mechanical systems that are required for environmental comfort, health, and safety of building occupants with a focus on energy efficiency and conservation. Topics include psychometrics, thermal comfort, building heating and cooling loads, fluid flow basics, HVAC components and systems, building envelop heat transfer, and energy requirements. In the course, students develop the ability to design and conduct computational modelling experiments and to analyze and interpret output data for selection between system alternatives in order to optimize energy use. 
Architectural Engineering	Architectural Engineering	LIGHTING SYSTEMS	Inclusive	This course focuses on the design of illumination systems in buildings. It provides a general introduction to the visual environment, including subjective and objective scales of measurement, visual perception, photometry, brightness, luminance, illumination, natural and artificial lighting. Other topics include photometric units, light sources, daylight luminaries, lighting quality, light loss factors, average luminance calculations (lumen method), point-by-point calculations, performance impacts, and ethics. Field measurements and computer simulations are used to explore some major aspects of architectural illumination systems. Design problems are solved by considering economic evaluation, energy saving criteria and applicable standards and building codes.
Architectural Engineering	Architectural Engineering	ADVANCED HVAC SYSTEM DESIGN	Inclusive	Analysis of heating and cooling load requirements, considering building construction type, geometry, infiltration, occupancy effects, and daily load variations. Heating design addresses water heating systems, electrical heating, central heating, heating of low and high-rise buildings, selection of heaters, boilers, pumps, piping design. Cooling design addresses refrigerants, refrigeration cycle, evaporator, compressor, condenser, thermostatic expansion valves, refrigeration system control equipment, motor and motor control equipment, refrigeration accessories, calculation of refrigeration piping and absorption systems. Computer applications for heating and cooling load analysis will be introduced to develop energy saving solutions. Analytical techniques and building codes are discussed through case studies and design projects.
Architectural Engineering	Architectural Engineering	BUILDING ENERGY SIMULATION	Inclusive	The course addresses the basic principles of building energy simulation, with a focus on the practical applications of building energy simulation tools to building design. Topics being covered include various model input parameters such as building geometry, orientation, climate, comfort, zoning, material properties, operation schedules, and HVAC systems. Building energy simulation software packages are illustrated and applied to the analysis of various case studies of buildings. Simulation output results are critically analyzed and compared to the results obtained from other building energy calculation methods. 
Architectural Engineering	Architectural Engineering	BUILDING ENVELOPE DESIGN	Inclusive	The course presents the basic principles of building envelope design, focusing primarily on its functional performance requirements and practical constructability aspects. Various building envelope systems are discussed and analyzed through case studies. Lecture topics include facade and roofing systems made of masonry, stone, concrete, timber, glass, and various metals. In addition, more complex building envelope strategies such as double skin facades, passive solar design, and building automation approaches, are discussed. The course includes design exercises and a case study project. 
Biology & Biotechnology	Biology & Biotechnology	PLANT DIVERSITY	Inclusive	This course focuses on general biological concepts as they relate to the vast array of plant species and their taxonomic links. Current uses of major plant phyla in both society and the biotechnology industry will be explored. Some emphasis will be given to economically important species chosen from agronomic and non-agronomic situations.
Biology & Biotechnology	Biology & Biotechnology	ENVIRONMENTAL BIOLOGY	Inclusive	This course is designed for students seeking a broad overview of ecological systems and the effect of humans on the ecosystems. It provides an introduction to natural ecosystems, population growth, and the interaction between human populations and our environment. It is conducted in an active style including the use of case studies, class discussion/participation, and classroom polling systems. The major goal of this course is to help students become more informed environmental citizens, skeptical when presented with data in the media, and knowledgeable enough to question and make informed decisions about the environment. It will primarily focus on current topics but areas of discussion likely to be covered include ecosystems, populations, biodiversity, pollution, environmental economics and climate change.
Biology & Biotechnology	Biology & Biotechnology	BIODIVERSITY	Inclusive	Through lectures, readings, and discussions this course will examine the breadth, patterns, mechanisms, and conservation of biodiversity. Case studies and peer-to-peer learning will be used to examine threats to regional and global biodiversity and assess management and engineering strategies for solutions to the biodiversity crisis. Students will investigate and interpret past and contemporary research to quantify, document, and track trends in biodiversity. This course will use problem sets and assignments to explore the natural, social, and economic tradeoffs associated with threats to and conservation of biodiversity. Students will develop an area of expertise and synthesize their comprehension of topics through project work (e.g., management plan, report, presentation, citizen science). Finally, this course will provide a synthesis of the interdisciplinary nature of biodiversity conservation and how principles of conservation biology, landscape ecology, metapopulation biology, and biogeography can be applied to strategies aimed towards sustaining Earth?s biota.
Biology & Biotechnology	Biology & Biotechnology	PRINCIPLES OF ECOLOGY	Inclusive	This course is intended to help students understand ecological concepts at different levels of integration, from individuals to ecosystems, and the linkages among them. Students will also practice the application of qualitative and quantitative models to ecological systems and processes, as well as hypothesis generation, experimental design, and analysis and interpretation of data. In a format that includes team-based case studies, discussion and presentations, and ecological simulations, students will explore topics in both basic and applied ecology, which may include population ecology, host-parasite ecology and epidemiology, climate change, and sustainable agriculture, among others. 
Biology & Biotechnology	Biology & Biotechnology	ECOLOGY, ENVIRONMENT, AND ANIMAL BEHAVIOR	Inclusive	This course examines topics in ecology and animal behavior through hands on experimentation and simulation. Activities in this course include interactions and observation of live animals as well as some outdoor activities and environmental sampling. This course will be relevant to students who have an interest in biology at more than the individual organism level as well as those with majors involving environmental and ecological concerns. Examples of the specific types of techniques and experience included in this course are: ? Observing, recording, understanding, and analyzing animal behaviors ? Handling of organisms ? Environmental and ecological assessment and sampling ? Observations of population dynamics
Biomedical Engineering 	Biomedical Engineering	MQP CAPSTONE DESIGN	Inclusive	This course guides students through the engineering design process during the first term of their MQP to aid them in fulfilling their capstone design requirement. The course focuses on developing a revised client statement based on the objectives, constraints, and functions of the design. Methods for concept generation, concept selection and development strategy will be covered. In addition, project planning tools, business plans, ethics, and design for manufacturability and sustainability will be covered.
Business	Business	GLOBAL ENVIRONMENT OF BUSINESS DECISIONS	Inclusive	The global nature of business is indisputable. This course introduces the students to the complexity of the global environment and adopts a multi-dimensional view (cultural, economic, social, legal, political, and technological) of world economy. It promotes understanding the global environment as integrative forces affecting the success or failure of today’s businesses and fosters a global perspective. Topics may include an overview of the world economy, comparative advantage and international trade, cultural distance, FDI/ globalization theory, outsourcing and global supply chain coordination, political and country risk, the global monetary system and currency risk, legal and ethical issues, and risk management.
Civil & Environmental Engineering	Civil & Environmental Engineering	CIVIL ENGINEERING AND COMPUTER FUNDAMENTALS	Inclusive	This course introduces students to basic fundamentals of civil engineering, group dynamics, oral presentation skills, engineering report writing techniques, and uses of the computer. Basics of structural engineering, geotechnical engineering, environmental engineering, surveying, materials, and construction engineering and management are presented in this course through a collaborative group teaching approach. Background is provided to gain competence in operating systems, editors, and spreadsheets. Student groups complete weekly computer laboratory projects and develop oral presentations and written reports.
Civil & Environmental Engineering	Civil & Environmental Engineering	TRANSPORTATION: TRAFFIC ENGINEERING	Inclusive	This course provides an introduction to the field of transportation engineering with particular emphasis on traffic engineering. Topics covered include a description of the transportation industry and transportation modes; characteristics of drivers, pedestrians, vehicles and the roadway; traffic engineering studies, highway safety, principles of traffic flow, intersection design and control, capacity analysis, and level of service analysis.
Civil & Environmental Engineering	Civil & Environmental Engineering	LEGAL ASPECTS OF PROFESSIONAL PRACTICE	Inclusive	The course focuses on the legal underpinnings that regulate the design and execution of construction projects and the relations between their participants. The subject is presented according to the various phases of a construction project, from inception to handover. The overall objective is to develop an awareness of the legal aspects that regulate the exercise of the architectural and civil engineering profession and of the environmental constraints of construction. Topics such as permitting process, design/engineering services and ethical issues are included.
Civil & Environmental Engineering	Civil & Environmental Engineering	PROJECT EVALUATION	Inclusive	In this course students are provided with a systematic framework for evaluating the economic sustainability and financial aspects of a building investment through its life cycle: project definition, design, construction and operation. The course develops according to several interrelated topics: budgeting (square foot cost and parametric estimating) and economic feasibility analysis, financing mechanisms, cash flow analysis, (time-value -of -money factors, present worth and rate of return), life-cycle assessment (environmental impact analysis), taxes, depreciation and regulations as well as consideration of risks and uncertainties.
Civil & Environmental Engineering	Civil & Environmental Engineering	MATERIALS OF CONSTRUCTION	Inclusive	This course provides an understanding of the use and acquisition of engineering properties of construction materials. Topics include relationships between the structure of materials, their engineering properties, and the selection of suitable materials for applications involving strength, durability, and serviceability. Experimental laboratory procedures including design of experiments, data collection, analysis, and representation, and report writing are an integral part of the work.
Civil & Environmental Engineering	Civil & Environmental Engineering	ENVIRONMENTAL ENGINEERING	Inclusive	This course provides an introduction to engineering aspects of environmental quality control. Students will learn fundamental science and engineering principles needed for environmental engineering, including concepts in chemistry, biology, physics, mass conservation, kinetics and reactor design. These principles are then applied to environmental engineering problems, including modeling of pollutants in natural systems and design of unit processes in engineered systems. Topics covered include environmental regulations, surface and ground water quality, drinking water treatment, wastewater treatment, air pollution, and hazardous waste management. 
Civil & Environmental Engineering	Civil & Environmental Engineering	WATER TREATMENT	Inclusive	This course provides in-depth coverage of processes used in water treatment. Topics include: review of water chemistry and drinking water standards, impurities in natural waters, aeration, water softening coagulation, flocculation, sedimentation, filtration, disinfection, taste and odor control, corrosion control, and iron and manganese removal.
Civil & Environmental Engineering	Civil & Environmental Engineering	WASTE WATER TREATMENT	Inclusive	This course provides in-depth coverage of processes used in wastewater treatment. Topics include: review of water quality standards, wastewater characteristics, application of biochemical oxygen demand, sources and effects of pollution, physical, chemical, and biological wastewater treatment processes, and waste sludge management.
Civil & Environmental Engineering	Civil & Environmental Engineering	HYDRAULICS	Inclusive	This course provides a background for applying the principles of fluid mechanics to analyze and design hydraulic and fluid flow systems for projects related to water resources and civil and environmental engineering. Topics include hydraulics in pipes and closed systems, open channels and rivers, water supply systems and water distribution networks, pump systems and turbines, wastewater collection and treatment systems, and coastal and other natural environmental systems. Course content includes water quality and energy considerations, as well as the development and application of hydraulic models.
Civil & Environmental Engineering	Civil & Environmental Engineering	URBAN AND ENVIRONMENTAL PLANNING	Inclusive	This course introduces to the student the social, economic, political, and environmental factors that affect the complex relationship between the built and natural environment. By using the principles of sustainable development and the procedures of planning, the optimal development pattern may be examined, and the infrastructure (roads, water supply systems, waste-water treatment systems, shopping malls, etc.) necessary to support present and future growth patterns may be determined. The information necessary in planning, which involves conscious procedures of analysis, formulation of alternative solutions, rational assessment and deliberate choice in accordance with evaluation criteria, is obtained through extensive reading. As such, the course introduces a variety of topics of concern to engineers and environmental scientists. The course is intended not only for civil engineering majors, but also for students preparing for an IQP in areas of urban or environmental concerns.
Civil & Environmental Engineering	Civil & Environmental Engineering	ENVIRONMENTAL ANALYSIS	Inclusive	This course provides a background in the principles and techniques of assessing areas of natural environment and applying environmental assessments to evaluate the inherent suitability of these areas for sustainable urban and resource-based uses. Topic areas include basic concepts in sustainability, landscape characterization and analysis, and environmental impact assessment and planning. The concepts and techniques developed in this course are useful for land use planning, site design, natural resources management, and the determination of the impact of engineering projects on the environment.
Civil & Environmental Engineering	Civil & Environmental Engineering	ENVIRONMENTAL ENGINEERING LABORATORY	Inclusive	This course familiarizes students with the laboratory studies used to obtain the design parameters for water and wastewater treatment systems. The topics include laboratory experiments dealing with physical, chemical, and biological treatment systems.
Civil & Environmental Engineering	Civil & Environmental Engineering	HYDROLOGY	Inclusive	This course introduces the concepts and principles governing the distribution and transport of water in the environment, and also provides a background for quantifying hydrologic processes as required for the development of water resources projects. Topics include the hydrologic cycle, precipitation, evaporation and transpiration, infiltration, runoff analysis, streamflow, hydrologic routing, statistics and probability in hydrology, and the quantification of hydrologic processes for water quality protection. The course introduces field techniques and the use of hydrologic models for solving problems in water resources and hydrology. Recommended background: ES 3004. This course will be offered in 2016-17, and in alternating years thereafter.
